名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
日本通信,東証1部,情報・通信業,情報通信・サービスその他 ,2659,-1701,-1650,-2198,4792,1678,3253,1602,21352,35,-101.52,-41.65,154728239
エムビーエス,マザーズ,建設業,建設・資材 ,2660,250,294,207,2803,1556,335,316,4387,55.5,14.16,7.96,7275000
テクノアルファ,東証JQS,卸売業,商社・卸売 ,2662,4,87,-76,1876,1176,100,220,2763,62.7,-6.14,-4.02,2316000
リスクモンスター,東証2部,情報・通信業,情報通信・サービスその他 ,2686,381,386,247,5269,4169,1155,456,4315,79.1,6.06,4.85,4028500
アジア開発キャピタル,東証2部,証券、商品先物取引業,金融（除く銀行） ,2686,-84,-76,-173,3780,3088,3618,613,5556,81.7,-5.3,-4.07,396835456
ネクストウェア,東証JQS,情報・通信業,情報通信・サービスその他 ,2691,32,28,7,1424,678,1209,428,4347,47.6,1.12,0.49,13015222
不二硝子,東証JQS,ガラス・土石製品,建設・資材 ,2694,70,91,56,3568,2301,107,381,1047,64.5,2.45,1.59,2142000
北の達人コーポレーション,東証1部,食料品,食品 ,2696,542,538,356,2290,1544,212,341,25493,67.4,24.78,18.61,22168000
オークファン,マザーズ,情報・通信業,情報通信・サービスその他 ,2725,320,332,308,4465,2260,676,1535,8361,50.6,14.15,7.05,9895000
21LADY,名古屋セ,小売業,小売 ,2736,32,22,-5,921,29,189,44,2185,3.1,-27.78,-0.52,6959853
イントランス,マザーズ,不動産業,不動産 ,2743,569,459,284,7247,3104,1133,3548,7463,42.8,9.47,4.49,37131000
ジー・スリーホールディングス,東証2部,情報・通信業,情報通信・サービスその他 ,2760,299,272,253,1382,952,793,53,15740,68.9,31.59,16.92,76408601
誠建設工業,東証2部,不動産業,不動産 ,2791,251,263,174,4738,3199,578,1225,1491,67.5,5.61,3.9,2012000
アサヒ衛陶,東証2部,ガラス・土石製品,建設・資材 ,2803,-238,-250,-294,2248,1081,1403,787,1838,48.1,-23.96,-13.11,14940000
ケイブ,東証JQS,情報・通信業,情報通信・サービスその他 ,2820,-220,-229,-391,1048,620,1290,204,4986,59.2,-63.22,-36.9,2782600
インターネットインフィニティー,マザーズ,サービス業,情報通信・サービスその他 ,2837,172,146,104,1465,486,211,527,11214,33.2,32.25,8.52,1254400
岡藤ホールディングス,東証1部,証券、商品先物取引業,金融（除く銀行） ,2840,-698,-678,-858,40602,3093,3500,1181,33767,7.6,-24.45,-2.56,9965047
ヤマザキ,東証JQS,機械,機械 ,2843,81,37,23,4377,1931,962,1800,1877,44.1,1.21,0.52,4533000
