選手名,Team,OPS,ISOP,BABIP,BB/K,PA/K,ABHR,TA,PS,RC27
エルナンデス,中,0.7170000000000001,0.129,0.3220779220779221,0.330188679245283,4.69811320754717,45.27272727272727,0.7282321899736148,6.875,4.999539082015715
亀澤　恭平,中,0.603,0.030000000000000027,0.3090277777777778,0.3409090909090909,7.5227272727272725,506.0,0.49407114624505927,0.0,3.131344552131446
藤井　淳志,中,0.764,0.12,0.36764705882352944,0.3333333333333333,3.9855072463768115,45.833333333333336,0.8080808080808081,4.0,5.929483568075115
森野　将彦,中,0.6789999999999999,0.03899999999999998,0.3157894736842105,0.9736842105263158,5.421052631578948,506.0,0.7368421052631579,0.0,5.456143459915608
荒木　雅博,中,0.614,0.04799999999999999,0.292817679558011,0.6451612903225806,6.806451612903226,506.0,0.63125,0.0,4.182973984803494
和田　一浩,中,0.75,0.10599999999999998,0.3468208092485549,0.35,5.45,43.6,0.7283950617283951,1.6666666666666667,5.344900284900286
福田　永将,中,0.705,0.16499999999999998,0.33980582524271846,0.22580645161290322,2.725806451612903,28.166666666666668,0.7185185185185186,0.0,4.506306569343069
高橋　周平,中,0.625,0.12999999999999995,0.25925925925925924,0.38095238095238093,3.6666666666666665,38.5,0.6328125,2.6666666666666665,3.5888488372093024
ナニータ,中,0.736,0.07700000000000001,0.3609022556390977,0.375,6.5,506.0,0.75,0.0,5.778885705387732
遠藤　一星,中,0.734,0.11499999999999999,0.2982456140350877,0.44,5.6,35.0,0.7547169811320755,3.4285714285714284,5.357422365245371
杉山　翔大,中,0.47,0.07800000000000001,0.21367521367521367,0.09090909090909091,4.636363636363637,51.0,0.3953488372093023,1.5,1.5304370412196484
梶谷　隆幸,横,0.767,0.14999999999999997,0.3448275862068966,0.4090909090909091,3.9393939393939394,40.0,0.8629441624365483,17.75609756097561,6.303485385404528
筒香　嘉智,横,0.922,0.20500000000000002,0.3537234042553192,0.6938775510204082,5.061224489795919,20.666666666666668,1.1104651162790697,0.0,9.286909712610928
ロペス,横,0.843,0.20499999999999996,0.30339805825242716,0.5365853658536586,6.2926829268292686,20.64,0.937007874015748,1.9230769230769231,7.128436255530978
バルディリス,横,0.724,0.133,0.2708860759493671,0.6935483870967742,7.5,35.76923076923077,0.7647058823529411,0.0,5.372526756116812
石川　雄洋,横,0.603,0.03799999999999998,0.3384615384615385,0.1951219512195122,4.182926829268292,343.0,0.5328185328185329,1.7142857142857142,3.546609253731347
倉本　寿彦,横,0.493,0.04099999999999998,0.266304347826087,0.16666666666666666,4.083333333333333,122.5,0.3910891089108911,0.0,1.6529088948787056
白崎　浩之,横,0.637,0.143,0.26143790849673204,0.24444444444444444,4.533333333333333,34.0,0.6196319018404908,3.0,3.6007210084033567
嶺井　博希,横,0.669,0.134,0.2846715328467153,0.2608695652173913,4.043478260869565,37.2,0.6944444444444444,0.0,4.586844153329894
荒波　翔,横,0.817,0.16499999999999998,0.3270440251572327,0.6153846153846154,7.230769230769231,47.0,0.9197080291970803,4.0,7.169507663434466
宮崎　敏郎,横,0.6930000000000001,0.07300000000000006,0.3282442748091603,0.2857142857142857,7.238095238095238,152.0,0.6548672566371682,0.0,4.733968356474002
関根　大気,横,0.587,0.10400000000000001,0.2540983606557377,0.36363636363636365,6.545454545454546,144.0,0.5862068965517241,1.7777777777777777,3.323745973308788
山田　哲人,ヤ,1.026,0.281,0.35279805352798055,0.7297297297297297,5.018018018018018,14.657894736842104,1.3753213367609254,35.888888888888886,11.244807196562837
川端　慎吾,ヤ,0.822,0.10299999999999998,0.3717693836978131,0.5972222222222222,8.069444444444445,72.625,0.8539603960396039,5.333333333333333,7.069740514589348
雄平,ヤ,0.695,0.11799999999999994,0.30387931034482757,0.32926829268292684,6.719512195121951,68.875,0.7070217917675545,7.466666666666667,5.076002951484968
畠山　和洋,ヤ,0.815,0.203,0.27611940298507465,0.6739130434782609,5.565217391304348,19.692307692307693,0.9272727272727272,0.0,6.838483111994136
中村　悠平,ヤ,0.575,0.04500000000000001,0.27624309392265195,0.5,5.525,221.0,0.5213675213675214,2.4,3.0522788193275936
大引　啓次,ヤ,0.625,0.11299999999999996,0.25793650793650796,0.48214285714285715,5.553571428571429,62.2,0.642570281124498,5.454545454545454,3.935467004563855
比屋根　渉,ヤ,0.601,0.07099999999999998,0.26785714285714285,0.4473684210526316,5.5,69.66666666666667,0.5878787878787879,4.0,3.5528471428571473
上田　剛史,ヤ,0.619,0.04299999999999998,0.2983425414364641,0.4827586206896552,7.206896551724138,209.0,0.575,1.7777777777777777,3.57473599844561
デニング,ヤ,0.671,0.12299999999999997,0.26174496644295303,0.5348837209302325,4.511627906976744,48.5,0.7337662337662337,0.0,4.9057958319213775
荒木　貴裕,ヤ,0.654,0.08200000000000002,0.2949640287769784,0.5333333333333333,5.666666666666667,85.0,0.6466165413533834,2.857142857142857,4.132411181373956
田中　浩康,ヤ,0.533,0.06,0.22608695652173913,0.6111111111111112,7.444444444444445,134.0,0.5045045045045045,1.5,2.4988353584796967
柳田　悠岐,ソ,1.1,0.268,0.40217391304347827,0.8712871287128713,4.97029702970297,14.764705882352942,1.510385756676558,32.96969696969697,13.057680082155604
松田　宣浩,ソ,0.8899999999999999,0.24599999999999994,0.31805929919137466,0.4444444444444444,3.948148148148148,15.228571428571428,0.9901719901719902,13.023255813953488,7.297966025295208
中村　晃,ソ,0.736,0.04999999999999999,0.3275488069414317,1.4042553191489362,10.76595744680851,506.0,0.7534246575342466,1.75,5.872090320550285
内川　聖一,ソ,0.7350000000000001,0.11100000000000004,0.2957446808510638,0.8181818181818182,9.618181818181819,48.09090909090909,0.7320099255583127,1.8333333333333333,5.1326736710444045
李　大浩,ソ,0.892,0.24200000000000005,0.30294906166219837,0.5688073394495413,4.678899082568807,16.451612903225808,1.0364583333333333,0.0,7.823071413401286
今宮　健太,ソ,0.605,0.098,0.261455525606469,0.40963855421686746,5.506024096385542,65.28571428571429,0.5718157181571816,4.2,3.1666254162042176
明石　健志,ソ,0.672,0.07900000000000001,0.3118279569892473,0.484375,5.34375,114.0,0.6781609195402298,4.714285714285714,4.574847330902151
川島　慶三,ソ,0.769,0.12700000000000006,0.3178294573643411,0.7586206896551724,5.413793103448276,78.5,0.8898305084745762,3.111111111111111,6.163930848532903
